"","cluster","yft","alb","bet","swo","sai","bum","bsh","whm","sma","ctype"
"1",1,0.0295792729540122,0.053471131826513,0.0260732777951613,0.264749410480414,0.00571649018441128,0.00324588810183394,0.605929672621296,0.00533141604199706,0.00590343999436142,"kcltrp"
"2",2,0.120122641618417,0.098094687462075,0.430922086788499,0.213168222431671,0.0149365862210758,0.012175015990733,0.0951176014219341,0.0146673022101147,0.000795855855479856,"kcltrp"
"3",3,0.231251856651894,0.41844737911899,0.104121147057948,0.109401583251173,0.0400643454467888,0.0141361290592299,0.0661410644497201,0.0159429466552217,0.000493548309034264,"kcltrp"
"4",4,0.0571877667431934,0.0647441862705218,0.076636998469346,0.565706022524457,0.028787012137332,0.0202400874681234,0.155930314292004,0.0235999504414034,0.00716766165361908,"kcltrp"
"5",1,0.0453009163071907,0.607781918933328,0.115499477586316,0.111053755256148,0.023775147025933,0.0128510267019631,0.0670930374829958,0.0163603717765753,0.000284348929551142,"clrtrp"
"6",2,0.241517909500941,0.105270896148222,0.292423528724935,0.197173266482806,0.0312011096620377,0.0149989902449711,0.0975165978756884,0.0182525073379594,0.00164519402243875,"clrtrp"
"7",3,0.019211137697631,0.0448537230577275,0.0145393556421912,0.230574023806352,0.00711803622003207,0.00369126792334092,0.665916494598975,0.0077556484030434,0.00634031265070673,"clrtrp"
"8",4,0.0389185220774786,0.0603503927124012,0.0579467793153517,0.577492203240098,0.0245460695342156,0.0160166816950999,0.202385314942501,0.0156174509326483,0.00672658555020575,"clrtrp"
"9",1,0.0465515018887831,0.604375077013099,0.150954877589414,0.103078777032355,0.023605382605271,0.00983763232223471,0.0476485952458734,0.0138150902285154,0.00013306607445383,"hcltrp"
"10",2,0.292697820042194,0.0940545927215703,0.319668209130039,0.173812288827225,0.0213183648747431,0.0115824928998799,0.0739408540405077,0.0124409253940402,0.000484452069799721,"hcltrp"
"11",3,0.0115085292106079,0.0390267586024576,0.0113155731004341,0.284816687725702,0.00296281920516969,0.00208218199361189,0.641325960787136,0.00448107984285107,0.00248040953202986,"hcltrp"
"12",4,0.0746374221023151,0.0956964705738071,0.105385167420522,0.452740556175243,0.0360680953664736,0.0204871920109639,0.184368142040548,0.0233527102779125,0.00726424403221448,"hcltrp"
"13",1,0.134489986039253,0.132089742487698,0.190383693632616,0.26277333025282,0.0185844000499249,0.0114484891316678,0.231205099927765,0.0173078583571054,0.00171740012115008,"kclset"
"14",2,0.116482131897344,0.224649034221037,0.0739614872181783,0.14202845800096,0.319003351704172,0.0185805768090015,0.0703196225984178,0.0343777688374416,0.000597568713447713,"kclset"
"15",3,0.0452213189844211,0.0658088660065262,0.0709763821555712,0.608518151011849,0.0119138635989572,0.0290138285101252,0.143225397956752,0.0103862488214819,0.0149359429543162,"kclset"
"16",4,0.12567753409688,0.767895662345595,0.0611211215025729,0.0215246189510743,0.00362672466685905,0.00308653160197205,0.0118379560711979,0.00514384647525457,8.60042885942373e-05,"kclset"
"17",1,0.0301679064038486,0.0475734446324309,0.0424413883419462,0.469108264130643,0.0239560843171875,0.0147786336525794,0.348397483861484,0.017622419040765,0.00595437561911512,"FT"
"18",2,0.607510109456627,0.0753357354341159,0.0807476233678933,0.101535727521002,0.0478778328064176,0.0143075757718808,0.0591509597646728,0.0124781776164633,0.00105625826092748,"FT"
"19",3,0.0352074257289788,0.785958471693569,0.0598081493183637,0.052130525826667,0.0174403294114556,0.00762823455389378,0.0291433241326825,0.0123733097829699,0.000310229551419201,"FT"
"20",4,0.0842705174133574,0.0748426539240418,0.575506058061136,0.160757685744237,0.0174517334002249,0.013931951496726,0.0556891581103612,0.0163798419189722,0.00117039993094359,"FT"
"21",1,0.754295100242786,0.121699142905444,0.0727018803893578,0.0320383759102251,0.00236175345039827,0.00435982124528995,0.00885063758032612,0.00332047026391568,0.000372818012257243,"clrset"
"22",2,0.137238249082795,0.158168168025608,0.189222693302107,0.229604604361083,0.0275036830110413,0.0137945132727739,0.222623857791093,0.0181176020388608,0.00372662911463782,"clrset"
"23",3,0.0281491269882785,0.880886225977178,0.0433618821617681,0.0160788039513104,0.00951565414790338,0.00434113194844192,0.0131612690321238,0.00442916489361844,7.67408993778521e-05,"clrset"
"24",4,0.0424051434293832,0.0697786005049732,0.0696133472615352,0.628890005009171,0.0188324464444661,0.01458881017278,0.14325593569561,0.00970144019713121,0.00293427128495094,"clrset"
