"","cluster","yft","alb","bet","swo","sai","bum","bsh","whm","sma","ctype"
"1",1,0.0335859608101956,0.102574093056543,0.0385207140887079,0.576159590588847,0.0269513036098313,0.0260397501291177,0.171955272971789,0.0196314577079415,0.00458185703702609,"kcltrp"
"2",2,0.0277852047801816,0.80352390339343,0.0771514803387502,0.0467267562997536,0.0147680158497228,0.0013337743105805,0.0235308959532449,0.00514361072645977,3.63583478766725e-05,"kcltrp"
"3",3,0.00503802516872614,0.0283977508952361,0.0188065614708951,0.191327932678251,0.00573611275329915,0.000734965595268877,0.74476168901039,0.000834331840094019,0.00436263058783949,"kcltrp"
"4",4,0.17990307196274,0.12184690213913,0.346100766671018,0.177141081998945,0.0582244840569107,0.00922785381639688,0.100021747236275,0.00753409211858386,0,"kcltrp"
"5",1,0.0157987615176721,0.0314064119862784,0.0303705837805963,0.189831826667834,0.00769474743314279,0.00106281450845138,0.71870808296258,0.00102134780114668,0.00410542334229794,"clrtrp"
"6",2,0.0592167375686749,0.746906830285509,0.0805094475160079,0.0588679431453686,0.0159990079887672,0.00602620399451142,0.0258531267815199,0.00626868019019889,0.000352022529441884,"clrtrp"
"7",3,0.0257523718430815,0.0527280197471098,0.0507031131834827,0.621726131724692,0.0300301226936347,0.00938528695062252,0.190796087032056,0.0151805887615731,0.00369827806374797,"clrtrp"
"8",4,0.125112188093108,0.0790174321012886,0.434097414718424,0.184697787225677,0.0702110979657786,0.012153605654282,0.08475809654154,0.00995237769990183,0,"clrtrp"
"9",1,0.0108306875701644,0.026508851089086,0.0231883655403381,0.220120749991144,0.0131301947284061,0.000575512586656405,0.705031343161407,0.000465374894180447,0.000148920438617847,"hcltrp"
"10",2,0.144371494752907,0.13193481686598,0.278079423873044,0.230626706169127,0.0499429621467416,0.02079313521691,0.120860219734199,0.0156432922202565,0.00774794902083511,"hcltrp"
"11",3,0.0320518059067662,0.790382622784333,0.0822202987654537,0.0508369219295491,0.0146762904638638,0.00140438308544745,0.0234000962521886,0.005027580812398,0,"hcltrp"
"12",4,0.00817794885591496,0.0380295022330305,0.00874256054491456,0.811430849329307,0.000313873195229127,0.00154083204930663,0.125442511565412,0.0063219222268845,0,"hcltrp"
"13",1,0.0017592161944779,0.0359702128856021,0.0035092626133471,0.0559792262133949,0,0.00172176308539945,0.880955438235008,0,0.0201048807727703,"kclset"
"14",2,0.0443530743990704,0.14355650479903,0.126558823906626,0.439997700268665,0.00690757494220259,0.0800376137147215,0.0530267829156228,0.105561925054062,0,"kclset"
"15",3,0.284607707111418,0.159260797697049,0.0857687653811991,0.0997242869835063,0.329485379055766,0.00337081839427759,0.0359049559994938,0.00187728937728938,0,"kclset"
"16",4,0.0437341953142817,0.418648073355388,0.116288297506279,0.18266358145478,0.00913479025600365,0.00309311488673055,0.223426673879345,0.00285159411414845,0.000159679233044262,"kclset"
"17",1,0.0189066561000079,0.938535814713333,0.0213604996966287,0.0106987246373471,0.0017457767738422,0.000907950926641987,0.00679419119277628,0.00100921336390211,4.11725955204216e-05,"FT"
"18",2,0.190455246457587,0.093036675265458,0.44559622681724,0.123401230417296,0.0689365965356386,0.0150873433293128,0.0454292705290469,0.0173340310187905,0.00072337962962963,"FT"
"19",3,0.0069028429912724,0.0226311155494316,0.00866315649698491,0.115323092206588,0.000251125040180006,0.000753894055194225,0.844010526667815,0.000264620974706506,0.00119962601782737,"FT"
"20",4,0.0183278907353954,0.0466642956096923,0.032741298639097,0.63427776385273,0.0381420075659415,0.0110353502663826,0.199940409105954,0.0115733853236849,0.00729759890112221,"FT"
"21",1,0.00106753732351104,0.0276418809642159,0.00449635903304797,0.0344007029843374,0,0.000267094017094017,0.930354028808258,0,0.00177239686953584,"clrset"
"22",2,0.0640998902365779,0.237142717915027,0.151340400811637,0.257307101861184,0.0121356779595203,0.00822499494616651,0.258141813720222,0.00907937571350837,0.00252802683615696,"clrset"
"23",3,0.0180689369199571,0.958892499527561,0.0154052467816031,0.00324984425892378,0.000480643549655845,0.000492639491914513,0.00314164480754091,0.000268544662843359,0,"clrset"
"24",4,0.140135995574426,0.130798166677497,0.090097464703297,0.138923704606684,0.443961531786138,0.00325967214192933,0.0502635244500893,0.00255994005994006,0,"clrset"
