"","cluster","yft","alb","bet","swo","sai","bum","bsh","whm","sma","ctype"
"1",1,0.238090515018918,0.151949099083947,0.347990383027435,0.135935239565753,0.0451468302148962,0.00716156139401845,0.0683836918840116,0.00534267981102137,0,"kcltrp"
"2",2,0.0383248542207284,0.887050500693058,0.0289150427835554,0.0297055696677632,0.00291095890410959,0.0012376348179353,0.00987256506155524,0.0019828738512949,0,"kcltrp"
"3",3,0.100675675675676,0.0862162162162162,0.103296703296703,0.219047619047619,0.336185031185031,0,0.0820512820512821,0.0725274725274725,0,"kcltrp"
"4",4,0.0422371955129557,0.0841740014480922,0.0680760483524837,0.452447493880556,0.00396394650125993,0.00816319336795126,0.327230639211221,0.0134028822737596,0.000304599451720987,"kcltrp"
"5",1,0.205619187323053,0.156575114958307,0.311848122782238,0.17030955645269,0.0482594284625416,0.0075805527350396,0.0899850714717686,0.00982296581436164,0,"clrtrp"
"6",2,0.0383750289161969,0.903406891606951,0.0271556000060027,0.023092921754941,0.00302437288738659,0.00128585435629642,0.00304220323855667,0.000617127233668587,0,"clrtrp"
"7",3,0.0413150321725353,0.0286207274694117,0.0194918203967978,0.314434432184662,0,0,0.595353058420235,0,0.000784929356357928,"clrtrp"
"8",4,0.0393474215842637,0.0728112628657093,0.0261834946771426,0.732132867840672,0.00331384015594542,0.013729399255715,0.0888073677683478,0.0236743458522043,0,"clrtrp"
"9",1,0.0664840372287181,0.0755531664874866,0.166375328681054,0.356051322434962,0.136675824797997,0.0396425726661891,0.101241904618916,0.0564059843719619,0.00156985871271586,"hcltrp"
"10",2,0.0383750289161969,0.903406891606951,0.0271556000060027,0.023092921754941,0.00302437288738659,0.00128585435629642,0.00304220323855667,0.000617127233668587,0,"hcltrp"
"11",3,0.241141139836621,0.16142377808232,0.339581331733157,0.141656073600073,0.0453748746425631,0.00683909467935376,0.0589898549322082,0.00499385249370454,0,"hcltrp"
"12",4,0.0411763110949842,0.0857289048729349,0.0780211179708373,0.419706858972919,0.00357105278980279,0.00141256313131313,0.359488076813043,0.0108951143541661,0,"hcltrp"
"13",1,0.04064383014431,0.924383204578487,0.0251781104020182,0.00791774166418118,0,0.000554637060152499,0.00118577075098814,0.000136705399863295,0,"kclset"
"14",2,0.390981101040335,0.14230328261507,0.0968500465333724,0.0209003046931718,0.339827047889291,0.000896458987001345,0.00334448160535117,0.00489727663640707,0,"kclset"
"15",3,0.134049144793957,0.209831810204837,0.246050234571732,0.24211981558815,0.00278707528010266,0.00366743442187821,0.154457218487632,0.00693915048216552,9.8116169544741e-05,"kclset"
"16",4,0.103622136507542,0.091430805121832,0.219773311554395,0.256582476008933,0.017368125701459,0.139102230248343,0.0714982320732357,0.100622682784262,0,"kclset"
"17",1,0.0418802655621784,0.907038457014898,0.0222889669957513,0.0184810379096239,0.00239559041763833,0.000342753239420084,0.00686422827006214,0.000708700590427379,0,"FT"
"18",2,0.0509941388666091,0.0678339191810863,0.122410449527273,0.658196602046278,0.00250360404814428,0.0072680483917186,0.066829078199787,0.0239641597391047,0,"FT"
"19",3,0.271900283131294,0.100354664433799,0.390875400900915,0.0935816104521449,0.0677482463125428,0.0107558641960954,0.0567758545971732,0.00800807597603565,0,"FT"
"20",4,0.0398009515656574,0.0671176191106532,0.0574788880104403,0.23069513492786,0.0046559164206223,0,0.599458605243311,0.000241312741312741,0.000551571980143409,"FT"
"21",1,0.108029683661374,0.403619569214095,0.144761151736257,0.193654016048572,0.00215620752063106,0.00321161088480658,0.139090327383219,0.00537487996679706,0.000102553584247769,"clrset"
"22",2,0.110659423483081,0.0956662012832759,0.441819172139099,0.23834701378011,0.00700289496090779,0.00827447354837903,0.0809501702683775,0.0172806505367695,0,"clrset"
"23",3,0.337747816371694,0.35812529595854,0.0560108302382658,0.0198191519637058,0.219191205844185,0.000328342526924087,0.00555914673561732,0.0032182103610675,0,"clrset"
"24",4,0.105263157894737,0,0.157894736842105,0,0,0.526315789473684,0.210526315789474,0,0,"clrset"
