"","cluster","yft","alb","bet","swo","sai","bum","bsh","whm","sma","ctype"
"1",1,0.0638240890409358,0.0603208467506461,0.0945498498680708,0.483568884135064,0.0316725420182321,0.0198495021648576,0.225226188810171,0.0195579622950606,0.00143013491696215,"kcltrp"
"2",2,0.48842988082926,0.105991649848005,0.0910679517774777,0.124964827134712,0.082670038046437,0.016895571019863,0.0729737518792949,0.0166436797549644,0.000362649709985471,"kcltrp"
"3",3,0.126991275623439,0.0873345215850423,0.439896097244348,0.220298976918643,0.0153603704456493,0.0114488337562883,0.0832472771613423,0.0149230049091457,0.000499642356102019,"kcltrp"
"4",4,0.0509167880779043,0.605288640284174,0.122821654599037,0.109218167226739,0.0247620660634214,0.0148193745273572,0.0554435153533096,0.0164837067439287,0.000246087124128248,"kcltrp"
"5",1,0.0222036102272295,0.0232391871232613,0.018249081619617,0.200761883991989,0.00951376164549671,0.0109555438819084,0.706344624938508,0.00601780442981624,0.00271450214217436,"clrtrp"
"6",2,0.0567861661487406,0.604654273562827,0.124680898720891,0.0985189605880676,0.0277068878744774,0.0160649830779513,0.053372238984171,0.017814838632757,0.000400752410116437,"clrtrp"
"7",3,0.103741448310417,0.0775506315928673,0.25953907101387,0.368188809440977,0.0241080389319289,0.0157443821619133,0.132537082424963,0.0177688744793973,0.000821661643666436,"clrtrp"
"8",4,0.516649868000155,0.097305549119848,0.0847447370552518,0.107814067858394,0.0917986901269241,0.0172504765047548,0.0686569706947181,0.0153164353987864,0.000463205241167982,"clrtrp"
"9",1,0.31429439696362,0.0787527348218948,0.0702872311213685,0.193762903837042,0.081347278819036,0.0258220693591886,0.210642526302724,0.0231123418048855,0.00197851697024102,"hcltrp"
"10",2,0.0355060109317423,0.670496781087443,0.103966626204162,0.0930869004465018,0.0250016637982852,0.0106319536125295,0.0491055045738942,0.0120894389673276,0.000115120378114787,"hcltrp"
"11",3,0.135455841173458,0.131818087732978,0.339564757080995,0.236393455355881,0.0181085769434522,0.0134218955826801,0.106233380042209,0.018684692302429,0.000319313785918797,"hcltrp"
"12",4,0.0649013060054118,0.0366632699160653,0.0874772800883089,0.644385627975479,0.0195981795276458,0.0139178246207796,0.12311500243744,0.0091694793205238,0.000772030108346023,"hcltrp"
"13",1,0.243082470841479,0.116627896986738,0.521357935941412,0.0804851771277959,0.00507054630775104,0.00537541527431394,0.0197609184689692,0.00564861873831875,0.0025910203132218,"kclset"
"14",2,0.127814843529462,0.246151485980438,0.0718576224142741,0.128071160602922,0.29144961236401,0.0594900380520628,0.0584799732590925,0.0161625474974637,0.000522716300275201,"kclset"
"15",3,0.059932406337326,0.0557755588877847,0.104170424829901,0.595179743515779,0.0209202410196624,0.0129937374242811,0.137344943658832,0.0133384717047404,0.000344472621693201,"kclset"
"16",4,0.157973610229722,0.22074969038245,0.193197882131115,0.233696482889564,0.0241877199761409,0.0149682301655159,0.135509595017723,0.0190787394351124,0.000638049772656884,"kclset"
"17",1,0.0515900865394783,0.045422441331395,0.0610290755799438,0.200170820590446,0.0238121003775294,0.0136328141399232,0.588855539068265,0.0137975309324393,0.00168959144058086,"FT"
"18",2,0.283300411306686,0.0746405878250071,0.365784335137555,0.134894197004999,0.0432224411945413,0.0183252826430492,0.0573174393443273,0.0217925912600713,0.000722714283764433,"FT"
"19",3,0.0366855903256987,0.792866572518896,0.0676199153884717,0.0430170119641612,0.0204268783190421,0.00901095491258566,0.0181226110101089,0.0122223694027934,2.80961582427365e-05,"FT"
"20",4,0.0512215969915719,0.0458105968727849,0.0842389554338145,0.673138261258182,0.0322749930867222,0.0175364092289648,0.0807180794534891,0.0142783489014538,0.000782758773016305,"FT"
"21",1,0.155303257598185,0.115768257239343,0.203233536698167,0.309708496191877,0.0372890484313142,0.0159661607669061,0.143101617507772,0.0187686805101791,0.000860945056255751,"clrset"
"22",2,0.0305021558656773,0.840486761107431,0.0512487247382372,0.02640676057301,0.0158317918739574,0.0188381949760277,0.00863641583012585,0.00804274689630525,6.44813922822222e-06,"clrset"
"23",3,0.0508649944158894,0.0880822169231893,0.753061529201398,0.075855362873969,0.00692314852938753,0.00699386831199723,0.01398201929538,0.00420735210658148,2.95083422080227e-05,"clrset"
"24",4,0.711640244269842,0.121048046734586,0.0858188554509982,0.0530694251844944,0.00942348360571576,0.00678317033054124,0.0051720392343109,0.00699661225433701,4.81229351746214e-05,"clrset"
