"","cluster","yft","alb","bet","swo","sai","bum","bsh","whm","sma","ctype"
"1",1,0.459946507948712,0.110869101847825,0.100327793393373,0.127649781635152,0.086194616039869,0.0220100198229403,0.0717877939227936,0.0208864501678544,0.000327935221480002,"kcltrp"
"2",2,0.120914735190245,0.0816231868296422,0.459952916647077,0.214348824413617,0.0152306670026087,0.011654272669889,0.0826501776443913,0.0133791946262229,0.000246024976307385,"kcltrp"
"3",3,0.0543268036687445,0.567875372964392,0.138543019887496,0.120384722250224,0.0259300726972165,0.0142736602419461,0.0556411096645842,0.0227476007525767,0.000277637872821156,"kcltrp"
"4",4,0.0793954343692608,0.054124239621885,0.120109319537627,0.47939535580824,0.0294375239772025,0.0160756625255272,0.207673557129826,0.0125323023240766,0.00125660470635497,"kcltrp"
"5",1,0.225835721817563,0.0685480641870697,0.0986205390816714,0.36186695416336,0.0356939458421902,0.01390913440042,0.183995291016796,0.0109536708282743,0.000576678662655446,"clrtrp"
"6",2,0.0516749697694068,0.573412868811319,0.136416780498166,0.115286153753461,0.0333627854622799,0.016099122416377,0.0547493934515731,0.0187169543198859,0.000280971517530657,"clrtrp"
"7",3,0.128198936137574,0.0868844837618995,0.401054630742195,0.239470776313297,0.0346173567764757,0.0170363119863459,0.0708219293350862,0.0215484164565485,0.000367158490578948,"clrtrp"
"8",4,0.032008658008658,0.00333333333333333,0.0294805194805195,0.390593806544196,0.00419047619047619,0.00649350649350649,0.363857341865714,0,0.170042358083596,"clrtrp"
"9",1,0.0764651035108601,0.0561976214044475,0.158943378738742,0.445752505040982,0.0316114770786769,0.0099423578227632,0.212980049924334,0.00733293065610274,0.000774575823091833,"hcltrp"
"10",2,0.0716676762413501,0.53879824127875,0.163218797732156,0.125893753859547,0.0243840615429296,0.0121264890890735,0.049749915322724,0.0140785341870818,8.25307463874376e-05,"hcltrp"
"11",3,0.332505846997776,0.0965037512222456,0.165304326809447,0.212128334209095,0.0563956568607461,0.0271544337558316,0.0770504153154609,0.0319641732632283,0.000993061566170231,"hcltrp"
"12",4,0.0818921507045709,0.0616578076467795,0.551829629304495,0.192436754208675,0.0125803698745619,0.00881871311344305,0.0827023567574104,0.00789980055721497,0.000182417832849019,"hcltrp"
"13",1,0.132169000979154,0.190981059657868,0.0869908854386541,0.142851994449329,0.254848441309654,0.0649339368094375,0.0471761705723404,0.0798546546117344,0.000193856171828379,"kclset"
"14",2,0.047326478363272,0.0530307952214439,0.0802763932216461,0.198258915842145,0.013266601001406,0.00502210990771297,0.591892241389346,0.00566572507427236,0.0052607399787563,"kclset"
"15",3,0.173814588624253,0.115704041804247,0.24962155511327,0.304242590555861,0.0256328698652097,0.0144363160511141,0.101539271013726,0.014622703930039,0.000386063042280325,"kclset"
"16",4,0.0438540108329408,0.846694557195137,0.0687212757555924,0.0224393045073059,0.00696262837332539,0.00354316203719166,0.00425472452048789,0.00352648714469694,3.84963332242604e-06,"kclset"
"17",1,0.379374307259677,0.0713182555683977,0.0943651289851574,0.119733048675948,0.0613461173532738,0.0207206043193683,0.228557103008041,0.0236665501929409,0.000918884637196389,"FT"
"18",2,0.0510211124253245,0.0409580153328703,0.0908293520800153,0.647705229978089,0.0321991299045187,0.0164709409170739,0.105391714491666,0.0146013351156211,0.00082316975482123,"FT"
"19",3,0.0846642380004289,0.0718223478975194,0.579342915653213,0.16081475354946,0.0162288983750993,0.0125751388701018,0.0610684342926078,0.0131279350601406,0.000355338301429567,"FT"
"20",4,0.0357821276815224,0.784393006974811,0.072003436452609,0.0446392868722943,0.021436575664273,0.00924165814212668,0.0205576065370347,0.0119146689743061,3.16327010232356e-05,"FT"
"21",1,0.167035556022471,0.223845495750686,0.142556572792499,0.320392462861977,0.0426994144752159,0.018475612144511,0.066644398606779,0.0176709349613523,0.000679552384508129,"clrset"
"22",2,0.0876526171841031,0.0769280285804397,0.102117243540455,0.223038099468106,0.021511056407639,0.0101827837886339,0.470148772327926,0.0075705744547317,0.00085082424796676,"clrset"
"23",3,0.156381010866968,0.106122246899477,0.563004092797352,0.11188986447202,0.0106337542659602,0.0090121503532749,0.035663953858811,0.00713851130811864,0.000154415178018217,"clrset"
"24",4,0.102043906165175,0.209921665048147,0.0749184063662323,0.110554710549433,0.181215888053929,0.0144332300895402,0.0197785075292437,0.287124530785163,9.15541313801785e-06,"clrset"
