"","yr","qtr","pr"
"1","1998","0.375",2.27903686689189
"2","1999","0.375",1.0470627493181
"3","2000","0.375",1.23964197283081
"4","2001","0.375",1.53779427304866
"5","2002","0.375",1.36732410388629
"6","2003","0.375",1.05104517296739
"7","2004","0.375",0.801167802073131
"8","2005","0.375",1.16410231678762
"9","2006","0.375",1.17269170195563
"10","2007","0.375",1.02836131624978
"11","2008","0.375",1.38059046915494
"12","2009","0.375",0.868620696848723
"13","2010","0.375",0.455089513127447
"14","2011","0.375",1.61886975235753
"15","2012","0.375",0.711464497404281
"16","2013","0.375",0.908168964580593
"17","2014","0.375",1.10426037434573
"18","2015","0.375",0.880933099650885
"19","2016","0.375",1.01591799662966
"20","2017","0.375",0.951619614683692
"21","2018","0.375",1.06842189275261
