"","yr","qtr","pr"
"1","1998","0.375",1.65491667939313
"2","1999","0.375",2.1948267509933
"3","2000","0.375",2.04097875875523
"4","2001","0.375",0.888312906598935
"5","2002","0.375",1.13502886256206
"6","2003","0.375",0.843612965176226
"7","2004","0.375",0.807452229102194
"8","2005","0.375",0.80886006550758
"9","2006","0.375",0.63532380987187
"10","2007","0.375",0.659021405370679
"11","2008","0.375",0.636999735915261
"12","2009","0.375",0.750623066873723
"13","2010","0.375",0.768435730771061
"14","2011","0.375",0.809571601382301
"15","2012","0.375",0.832766840376051
"16","2013","0.375",0.846454422376171
"17","2014","0.375",0.812077321714448
"18","2015","0.375",0.990176409439772
"19","2016","0.375",0.790284754263536
"20","2017","0.375",0.725953963267759
"21","2018","0.375",1.03518871421989
