"","yr","qtr","pr"
"1","1998","0.375",1.30518373170058
"2","1999","0.375",1.34392211609942
"3","2000","0.375",1.76857379393655
"4","2001","0.375",0.942836699779987
"5","2002","0.375",0.739022601557618
"6","2003","0.375",0.634110370888421
"7","2004","0.375",0.995545591266169
"8","2005","0.375",1.18115130342346
"9","2006","0.375",0.807234094007945
"10","2007","0.375",0.859705015584669
"11","2008","0.375",0.858937098532817
"12","2009","0.375",0.866966097236391
"13","2010","0.375",1.04983490742178
"14","2011","0.375",1.06838716973996
"15","2012","0.375",0.891220989130204
"16","2013","0.375",1.04985004431262
"17","2014","0.375",0.988875462886675
"18","2015","0.375",1.10524742306444
"19","2016","0.375",0.953339941728597
"20","2017","0.375",0.789900719268635
"21","2018","0.375",1.12941412592662
